#{"t_start": 1702393806.5680215, "env_id": null}
r,l,t
1,7,7605.466761
0,7,7611.866498
1,7,7618.499583
0,8,7622.284172
0,7,7628.666722
0,7,7634.966465
0,7,7641.265659
1,7,7647.965402
1,7,7654.581849
0,8,7658.5322
1,7,7664.94853
0,7,7671.165646
0,7,7677.431344
1,7,7684.064551
0,7,7690.480871
0,7,7696.863991
0,7,7703.130487
0,7,7709.430391
0,7,7715.91434
0,7,7722.496615
0,7,7728.946598
0,7,7735.296409
1,7,7741.981793
0,7,7748.462805
1,7,7755.080715
1,7,7761.412511
0,8,7765.246119
0,7,7771.545472
0,7,7777.980621
0,8,7781.861705
0,8,7785.611538
1,7,7792.061831
1,7,7798.594926
1,7,7805.211687
0,7,7811.594855
0,7,7818.011184
0,7,7824.527965
0,7,7830.760816
1,7,7837.560746
1,7,7844.144991
0,8,7847.828071
0,7,7854.044002
0,7,7860.460422
0,8,7864.277875
0,7,7870.543375
1,7,7877.076694
0,7,7883.426632
0,7,7889.759569
0,7,7896.159868
1,7,7902.909434
0,7,7909.760039
1,7,7916.659276
1,7,7923.375871
1,7,7929.742351
1,7,7936.32594
0,7,7942.625503
0,7,7948.92515
0,7,7954.991665
0,8,7958.808135
0,8,7962.725452
0,7,7969.091935
1,7,7975.924767
0,7,7982.124742
0,7,7988.674687
1,7,7996.028725
0,7,8003.124291
0,7,8009.307628
0,7,8015.790913
0,7,8022.374185
0,7,8028.723824
1,7,8035.374708
0,7,8041.706972
1,7,8048.206904
1,7,8054.990979
1,7,8062.543043
1,7,8069.140126
1,7,8075.941251
0,7,8082.223801
0,7,8088.640363
0,7,8094.872925
0,7,8101.089687
0,7,8107.422894
1,7,8114.674695
0,7,8122.439198
0,7,8128.889168
1,7,8136.139833
0,7,8142.805957
0,7,8149.138926
0,8,8152.921838
1,7,8159.505372
0,7,8165.938502
0,7,8172.155517
1,7,8178.555105
0,7,8185.038684
0,7,8191.472436
1,7,8198.055493
0,7,8204.488811
1,7,8210.889978
0,7,8217.205437
1,7,8223.771262
0,7,8230.087881
0,7,8236.43769
1,7,8242.937697
1,7,8249.504337
0,7,8255.854048
1,7,8262.420806
1,7,8269.154077
1,7,8275.88748
0,7,8282.221139
0,7,8288.7037
0,7,8294.987004
0,7,8301.370187
1,7,8307.953636
0,7,8314.35372
0,7,8320.736698
0,7,8327.638822
1,7,8334.920094
1,7,8341.486523
1,7,8348.120865
1,7,8354.602986
1,7,8361.086175
1,7,8367.686209
0,7,8374.135849
0,8,8378.019728
0,7,8384.553252
0,7,8390.885971
0,7,8397.403674
0,7,8403.85326
0,7,8410.45345
0,7,8416.752493
1,7,8423.353554
0,7,8429.635635
0,7,8435.968882
0,7,8442.302198
0,7,8449.405726
1,7,8457.086115
0,7,8464.252354
0,7,8470.668467
1,7,8477.268405
0,7,8483.66836
1,7,8490.151722
0,7,8496.418661
0,7,8503.101479
1,7,8510.288384
1,7,8517.134607
0,8,8521.017737
1,7,8527.61834
0,7,8534.117896
0,7,8540.401198
0,7,8546.618098
0,8,8550.534083
0,7,8556.717644
0,7,8563.018284
0,7,8569.384295
0,7,8575.634439
0,7,8582.134107
1,7,8588.567431
1,7,8595.001451
1,7,8601.484116
1,7,8608.117829
0,7,8614.283866
1,7,8620.867194
0,7,8627.333817
0,7,8633.816801
1,7,8640.517002
1,7,8647.133545
0,7,8653.467671
1,7,8660.066879
0,7,8666.249966
1,7,8672.600055
1,7,8679.083505
1,7,8685.549809
0,7,8691.866489
0,7,8698.099843
0,8,8701.749449
0,7,8708.199735
0,7,8714.582873
0,7,8720.817837
0,7,8727.132813
1,7,8733.433228
1,7,8739.833878
0,7,8746.032634
0,8,8749.865925
0,7,8756.382707
0,7,8762.766736
0,7,8769.049256
0,7,8775.46657
1,7,8781.883643
0,7,8788.299173
0,7,8794.766077
0,7,8801.032308
1,7,8807.269169
1,7,8813.798961
0,7,8820.232121
1,7,8826.632395
0,7,8832.798776
0,7,8839.282151
0,7,8845.616059
0,7,8851.74852
1,7,8858.215346
1,7,8864.848697
0,7,8871.331939
-1,7,8877.931959
0,8,8881.548189
0,7,8887.698541
0,7,8894.082456
1,7,8900.381588
1,7,8906.798409
0,7,8913.098184
1,7,8919.816441
0,8,8923.967571
1,7,8933.600326
0,7,8941.465039
0,7,8948.598101
